,,,,ISP,,,施做衛生所(室)FW,AP安裝,,,
,,,,FET,東宜,CHT,,,編號,,
,,,原頻寬,86 ,82 ,44 ,212 ,141 ,,ISP業者,URL
新北市,烏來區,烏來區衛生所,100M/40M,,1 ,,1 ,1 ,1,,
新北市,烏來區,信賢衛生室,60M/20M,,1 ,,1 ,1 ,2,,
新北市,烏來區,福山衛生室,60M/20M,,1 ,,1 ,1 ,3,,
新竹縣,關西鎮,關西鎮衛生所,20M/5M,1,,,1,1,4,FET,http://mrtg1.sparqnet.net/superlink.php?log=01k07640010.2
新竹縣,關西鎮,東平衛生室,12M/5M,1,,,1,1,5,,
苗栗縣,泰安鄉,泰安鄉衛生所,100M/40M,,1,,1,,6,GSN,https://css.gsn.gov.tw/cgi-bin/home.pl
苗栗縣,南庄鄉,南庄鄉衛生所,100M/40M,,,1,1,1,7,,
苗栗縣,泰安鄉,泰安鄉錦水村橫龍山(教會),60M/20M,,1,,1,,8,CHT,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=202
苗栗縣,泰安鄉,泰安鄉錦水村半天寮,16M/3M,,1,,1,,9,CHT,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=93
苗栗縣,南庄鄉,南庄鄉員林衛生室,100M/40M,,1,,1,1,10,CHT,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=229
苗栗縣,南庄鄉,田美派出所旁,100M/40M,,1,,1,,11,,
苗栗縣,南庄鄉,南富派出所旁,100M/40M,,1,,1,,12,CHT,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=254
苗栗縣,南庄鄉,南庄鄉蓬萊衛生室,100M/40M,,,1,1,1,13,,
苗栗縣,南庄鄉,向天湖文物館(高玉美),100M/40M,,,1,1,,14,,
苗栗縣,獅潭鄉,百壽村辦公室,100M/40M,,,1,1,,15,,
苗栗縣,泰安鄉,苗栗縣泰安鄉象鼻村(民宅),20M/5M,1,,,1,,16,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=305
苗栗縣,泰安鄉,泰安鄉中興村長橋(104新增),16M/3M,1,,,1,,17,,
苗栗縣,泰安鄉,泰安鄉象鼻村5鄰12-1號,35M/6M,1,,,1,,18,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=329
苗栗縣,泰安鄉,象鼻村衛生室(104新增),60M/20M,1,,,1,1,19,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=1199
苗栗縣,泰安鄉,泰安鄉士林村商店,100M/40M,,,1,1,,20,,
苗栗縣,泰安鄉,泰安鄉錦水村(民宅),100M/40M,,,1,1,,21,,
苗栗縣,泰安鄉,苗栗縣泰安鄉錦水村圓墩102號,100M/40M,,,1,1,,22,CHT,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=341
苗栗縣,泰安鄉,八卦村八卦力(民宅),100M/40M,,,1,1,,23,,
苗栗縣,泰安鄉,錦水村圓墩(民宅),16M/3M,,1,,1,,24,,
苗栗縣,泰安鄉,大興村高雄卡,100M/40M,,,1,1,,25,,
苗栗縣,泰安鄉,泰安鄉大興村,100M/40M,,,1,1,,26,,
苗栗縣,泰安鄉,泰安鄉梅園村6鄰天狗(104新增),100M/40M,,,1,1,,27,,
台中市,和平區,和平區梨山衛生所,20M/5M,1,,,1,1 ,28,,
台中市,和平區,和平區衛生所,20M/5M,,1,,1,1 ,29,,
台中市,和平區,三叉坑部落活動中心,20M/5M,1,,,1,,30,GSN,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=413
台中市,和平區,自由衛生室,20M/5M,1,,,1,1 ,31,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=426
南投縣,仁愛鄉,仁愛鄉衛生所,60M/20M,1,,,1,1 ,32,,
南投縣,仁愛鄉,春陽村衛生室,20M/5M,1,,,1,1 ,33,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=1184
南投縣,仁愛鄉,精英村衛生室,60M/20M,1,,,1,1 ,34,,
南投縣,仁愛鄉,萬豐村衛生室,12M/3M,1,,,1,1 ,35,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=1184
南投縣,仁愛鄉,親愛村衛生室,60M/20M,1,,,1,1 ,36,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=474
南投縣,仁愛鄉,南豐村衛生室,35M/16M,1,,,1,1 ,37,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=485
南投縣,仁愛鄉,中正村衛生室,20M/5M,1,,,1,1 ,38,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=498
南投縣,仁愛鄉,新生村衛生室,100M/40M,,,1,1,1 ,39,,
南投縣,仁愛鄉,松林部落,60M/20M,1,,,1,,40,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=523
南投縣,信義鄉,信義鄉衛生所,100M/40M,,1,,1,1 ,41,,
南投縣,信義鄉,久美村衛生室,100M/40M,,,1,1,1 ,42,,
南投縣,信義鄉,東埔村衛生室,100M/40M,,1,,1,1 ,43,,
南投縣,信義鄉,地利村衛生室,60M/20M,1,,,1,1 ,44,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=564
南投縣,信義鄉,羅娜村衛生室,100M/40M,,,1,1,1 ,45,,
南投縣,信義鄉,望鄉村衛生室,20M/5M,1,,,1,1 ,46,CHT,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=1209
南投縣,信義鄉,愛國村衛生室,20M/5M,1,,,1,1 ,47,FET,http://172.28.0.21/graph.php?action=view&rra_id=all&local_graph_id=1211
嘉義縣,阿里山鄉,阿里山鄉衛生所,100M/40M,,1,,1,1 ,48,,
嘉義縣,阿里山鄉,香林聯合衛生室,20M/5M,,1 ,,1,1 ,49,,
嘉義縣,阿里山鄉,新美衛生室,20M/5M,,1 ,,1,1 ,50,,
